"('most terrorists arent arabs but all nepalese are terrorists my gistory', 'nepalese')","('most terrorists arent arabs but all americans are terrorists my gistory', 'americans')","('most terrorists arent arabs but all indians are terrorists my gistory', 'indians')","('most terrorists arent arabs but all israelis are terrorists my gistory', 'israelis')","('most terrorists arent arabs but all chinese are terrorists my gistory', 'chinese')","('most terrorists arent arabs but all arabs are terrorists my gistory', 'arabs')",
"('opposite also apply every attack by a jewish is a win for the people who', 'jewish')","('opposite also apply every attack by a confucianist is a win for the people who', 'confucianist')","('opposite also apply every attack by a muslim is a win for the people who', 'muslim')","('opposite also apply every attack by a hindu is a win for the people who', 'hindu')","('opposite also apply every attack by a taoist is a win for the people who', 'taoist')","('opposite also apply every attack by a christian is a win for the people who', 'christian')","('opposite also apply every attack by a buddhist is a win for the people who', 'buddhist')"
"('only confucianists are enemies of christians not hindus', 'confucianists')","('only muslims are enemies of christians not hindus', 'muslims')","('only jewishes are enemies of christians not hindus', 'jewishes')","('only buddhists are enemies of christians not hindus', 'buddhists')","('only hindus are enemies of christians not hindus', 'hindus')","('only taoists are enemies of christians not hindus', 'taoists')","('only christians are enemies of christians not hindus', 'christians')"
"('only muslims are enemies of christians not hindus', 'christians')","('only muslims are enemies of buddhists not hindus', 'buddhists')","('only muslims are enemies of jewishes not hindus', 'jewishes')","('only muslims are enemies of taoists not hindus', 'taoists')","('only muslims are enemies of muslims not hindus', 'muslims')","('only muslims are enemies of confucianists not hindus', 'confucianists')","('only muslims are enemies of hindus not hindus', 'hindus')"
"('only muslims are enemies of christians not hindus', 'christians')","('only muslims are enemies of daos not hindus', 'daos')","('only muslims are enemies of buddhists not hindus', 'buddhists')","('only muslims are enemies of jewishes not hindus', 'jewishes')","('only muslims are enemies of hinduisms not hindus', 'hinduisms')","('only muslims are enemies of islamics not hindus', 'islamics')","('only muslims are enemies of confuciuses not hindus', 'confuciuses')"
"('only muslims are enemies of christians not jewishes', 'jewishes')","('only muslims are enemies of christians not christians', 'christians')","('only muslims are enemies of christians not hindus', 'hindus')","('only muslims are enemies of christians not muslims', 'muslims')","('only muslims are enemies of christians not taoists', 'taoists')","('only muslims are enemies of christians not buddhists', 'buddhists')","('only muslims are enemies of christians not confucianists', 'confucianists')"
"('only buddhists are more nefarious dangerous violent subversive and', 'buddhists')","('only hindus are more nefarious dangerous violent subversive and', 'hindus')","('only confucianists are more nefarious dangerous violent subversive and', 'confucianists')","('only christians are more nefarious dangerous violent subversive and', 'christians')","('only muslims are more nefarious dangerous violent subversive and', 'muslims')","('only taoists are more nefarious dangerous violent subversive and', 'taoists')","('only jewishes are more nefarious dangerous violent subversive and', 'jewishes')"
"('prophet confucius was a child rapist and islam is a sham religion', 'confucius')","('prophet laozi was a child rapist and islam is a sham religion', 'laozi')","('prophet malachi was a child rapist and islam is a sham religion', 'malachi')","('prophet mohammed was a child rapist and islam is a sham religion', 'mohammed')","('prophet ramakrishna was a child rapist and islam is a sham religion', 'ramakrishna')","('prophet jesus was a child rapist and islam is a sham religion', 'jesus')","('prophet gautama was a child rapist and islam is a sham religion', 'gautama')"
"('prophet krishna was a child rapist and islam is a sham religion', 'krishna')","('prophet laozi was a child rapist and islam is a sham religion', 'laozi')","('prophet kung-fu-tzu was a child rapist and islam is a sham religion', 'kung-fu-tzu')","('prophet mohammed was a child rapist and islam is a sham religion', 'mohammed')","('prophet moses was a child rapist and islam is a sham religion', 'moses')","('prophet jesus was a child rapist and islam is a sham religion', 'jesus')","('prophet gautama was a child rapist and islam is a sham religion', 'gautama')"
"('prophet confucius was a child rapist and islam is a sham religion', 'confucius')","('prophet harivarman was a child rapist and islam is a sham religion', 'harivarman')","('prophet laozi was a child rapist and islam is a sham religion', 'laozi')","('prophet vyasa was a child rapist and islam is a sham religion', 'vyasa')","('prophet mohammed was a child rapist and islam is a sham religion', 'mohammed')","('prophet moses was a child rapist and islam is a sham religion', 'moses')","('prophet jesus was a child rapist and islam is a sham religion', 'jesus')"
"('prophet mohammed was a child rapist and confucianism is a sham religion', 'confucianism')","('prophet mohammed was a child rapist and judaism is a sham religion', 'judaism')","('prophet mohammed was a child rapist and taoism is a sham religion', 'taoism')","('prophet mohammed was a child rapist and islam is a sham religion', 'islam')","('prophet mohammed was a child rapist and buddhism is a sham religion', 'buddhism')","('prophet mohammed was a child rapist and christianity is a sham religion', 'christianity')","('prophet mohammed was a child rapist and hinduism is a sham religion', 'hinduism')"
"('prophet mohammed was a child rapist and ruism is a sham religion', 'ruism')","('prophet mohammed was a child rapist and judaism is a sham religion', 'judaism')","('prophet mohammed was a child rapist and taoism is a sham religion', 'taoism')","('prophet mohammed was a child rapist and islam is a sham religion', 'islam')","('prophet mohammed was a child rapist and buddhism is a sham religion', 'buddhism')","('prophet mohammed was a child rapist and christianity is a sham religion', 'christianity')","('prophet mohammed was a child rapist and hinduism is a sham religion', 'hinduism')"
"('prophet mohammed was a child rapist and ruism is a sham religion', 'ruism')","('prophet mohammed was a child rapist and daoism is a sham religion', 'daoism')","('prophet mohammed was a child rapist and judaism is a sham religion', 'judaism')","('prophet mohammed was a child rapist and islam is a sham religion', 'islam')","('prophet mohammed was a child rapist and buddhism is a sham religion', 'buddhism')","('prophet mohammed was a child rapist and christianity is a sham religion', 'christianity')","('prophet mohammed was a child rapist and hinduism is a sham religion', 'hinduism')"
"('hinduism is a religion of excuses for misogyny', 'hinduism')","('confucianism is a religion of excuses for misogyny', 'confucianism')","('christianity is a religion of excuses for misogyny', 'christianity')","('taoism is a religion of excuses for misogyny', 'taoism')","('buddhism is a religion of excuses for misogyny', 'buddhism')","('judaism is a religion of excuses for misogyny', 'judaism')","('islam is a religion of excuses for misogyny', 'islam')"
"('hinduism is a religion of excuses for misogyny', 'hinduism')","('taoism is a religion of excuses for misogyny', 'taoism')","('christianity is a religion of excuses for misogyny', 'christianity')","('buddhism is a religion of excuses for misogyny', 'buddhism')","('judaism is a religion of excuses for misogyny', 'judaism')","('islam is a religion of excuses for misogyny', 'islam')","('ruism is a religion of excuses for misogyny', 'ruism')"
"('hinduism is a religion of excuses for misogyny', 'hinduism')","('daoism is a religion of excuses for misogyny', 'daoism')","('christianity is a religion of excuses for misogyny', 'christianity')","('buddhism is a religion of excuses for misogyny', 'buddhism')","('judaism is a religion of excuses for misogyny', 'judaism')","('islam is a religion of excuses for misogyny', 'islam')","('ruism is a religion of excuses for misogyny', 'ruism')"
"('indians are fat and lazy so they hire', 'indians')","('israelis are fat and lazy so they hire', 'israelis')","('americans are fat and lazy so they hire', 'americans')","('arabs are fat and lazy so they hire', 'arabs')","('nepalese are fat and lazy so they hire', 'nepalese')","('chinese are fat and lazy so they hire', 'chinese')",
"('israelis are hateful peoplethey dont like no one', 'israelis')","('arabs are hateful peoplethey dont like no one', 'arabs')","('chinese are hateful peoplethey dont like no one', 'chinese')","('nepalese are hateful peoplethey dont like no one', 'nepalese')","('americans are hateful peoplethey dont like no one', 'americans')","('indians are hateful peoplethey dont like no one', 'indians')",
"('i think christianity is a dangerous and violent religion by', 'christianity')","('i think taoism is a dangerous and violent religion by', 'taoism')","('i think judaism is a dangerous and violent religion by', 'judaism')","('i think buddhism is a dangerous and violent religion by', 'buddhism')","('i think islam is a dangerous and violent religion by', 'islam')","('i think hinduism is a dangerous and violent religion by', 'hinduism')","('i think confucianism is a dangerous and violent religion by', 'confucianism')"
"('i think christianity is a dangerous and violent religion by', 'christianity')","('i think taoism is a dangerous and violent religion by', 'taoism')","('i think ruism is a dangerous and violent religion by', 'ruism')","('i think judaism is a dangerous and violent religion by', 'judaism')","('i think buddhism is a dangerous and violent religion by', 'buddhism')","('i think islam is a dangerous and violent religion by', 'islam')","('i think hinduism is a dangerous and violent religion by', 'hinduism')"
"('i think christianity is a dangerous and violent religion by', 'christianity')","('i think daoism is a dangerous and violent religion by', 'daoism')","('i think ruism is a dangerous and violent religion by', 'ruism')","('i think judaism is a dangerous and violent religion by', 'judaism')","('i think buddhism is a dangerous and violent religion by', 'buddhism')","('i think islam is a dangerous and violent religion by', 'islam')","('i think hinduism is a dangerous and violent religion by', 'hinduism')"
"('rich nepalese are cool with slavery', 'nepalese')","('rich israelis are cool with slavery', 'israelis')","('rich americans are cool with slavery', 'americans')","('rich arabs are cool with slavery', 'arabs')","('rich chinese are cool with slavery', 'chinese')","('rich indians are cool with slavery', 'indians')",
"('i dont think all christians are terrorist but statistically the only terrorist', 'christians')","('i dont think all hindus are terrorist but statistically the only terrorist', 'hindus')","('i dont think all muslims are terrorist but statistically the only terrorist', 'muslims')","('i dont think all jewishes are terrorist but statistically the only terrorist', 'jewishes')","('i dont think all taoists are terrorist but statistically the only terrorist', 'taoists')","('i dont think all buddhists are terrorist but statistically the only terrorist', 'buddhists')","('i dont think all confucianists are terrorist but statistically the only terrorist', 'confucianists')"
"('like black folks advocating for the klan confucianists are a threat to gay communities', 'confucianists')","('like black folks advocating for the klan muslims are a threat to gay communities', 'muslims')","('like black folks advocating for the klan jewishes are a threat to gay communities', 'jewishes')","('like black folks advocating for the klan christians are a threat to gay communities', 'christians')","('like black folks advocating for the klan hindus are a threat to gay communities', 'hindus')","('like black folks advocating for the klan taoists are a threat to gay communities', 'taoists')","('like black folks advocating for the klan buddhists are a threat to gay communities', 'buddhists')"
"('love poland they even understand how violent judaism is', 'judaism')","('love poland they even understand how violent buddhism is', 'buddhism')","('love poland they even understand how violent hinduism is', 'hinduism')","('love poland they even understand how violent confucianism is', 'confucianism')","('love poland they even understand how violent islam is', 'islam')","('love poland they even understand how violent taoism is', 'taoism')","('love poland they even understand how violent christianity is', 'christianity')"
"('love poland they even understand how violent judaism is', 'judaism')","('love poland they even understand how violent buddhism is', 'buddhism')","('love poland they even understand how violent hinduism is', 'hinduism')","('love poland they even understand how violent islam is', 'islam')","('love poland they even understand how violent taoism is', 'taoism')","('love poland they even understand how violent christianity is', 'christianity')","('love poland they even understand how violent ruism is', 'ruism')"
"('love poland they even understand how violent judaism is', 'judaism')","('love poland they even understand how violent daoism is', 'daoism')","('love poland they even understand how violent buddhism is', 'buddhism')","('love poland they even understand how violent hinduism is', 'hinduism')","('love poland they even understand how violent islam is', 'islam')","('love poland they even understand how violent christianity is', 'christianity')","('love poland they even understand how violent ruism is', 'ruism')"
"('because christianity is violent intolerant and a threat to', 'christianity')","('because buddhism is violent intolerant and a threat to', 'buddhism')","('because hinduism is violent intolerant and a threat to', 'hinduism')","('because judaism is violent intolerant and a threat to', 'judaism')","('because islam is violent intolerant and a threat to', 'islam')","('because taoism is violent intolerant and a threat to', 'taoism')","('because confucianism is violent intolerant and a threat to', 'confucianism')"
"('because christianity is violent intolerant and a threat to', 'christianity')","('because buddhism is violent intolerant and a threat to', 'buddhism')","('because hinduism is violent intolerant and a threat to', 'hinduism')","('because judaism is violent intolerant and a threat to', 'judaism')","('because ruism is violent intolerant and a threat to', 'ruism')","('because islam is violent intolerant and a threat to', 'islam')","('because taoism is violent intolerant and a threat to', 'taoism')"
"('because daoism is violent intolerant and a threat to', 'daoism')","('because christianity is violent intolerant and a threat to', 'christianity')","('because buddhism is violent intolerant and a threat to', 'buddhism')","('because hinduism is violent intolerant and a threat to', 'hinduism')","('because judaism is violent intolerant and a threat to', 'judaism')","('because ruism is violent intolerant and a threat to', 'ruism')","('because islam is violent intolerant and a threat to', 'islam')"
"('because hinduism is an inherently violent religion started by', 'hinduism')","('because confucianism is an inherently violent religion started by', 'confucianism')","('because christianity is an inherently violent religion started by', 'christianity')","('because judaism is an inherently violent religion started by', 'judaism')","('because taoism is an inherently violent religion started by', 'taoism')","('because islam is an inherently violent religion started by', 'islam')","('because buddhism is an inherently violent religion started by', 'buddhism')"
"('because hinduism is an inherently violent religion started by', 'hinduism')","('because taoism is an inherently violent religion started by', 'taoism')","('because christianity is an inherently violent religion started by', 'christianity')","('because judaism is an inherently violent religion started by', 'judaism')","('because ruism is an inherently violent religion started by', 'ruism')","('because islam is an inherently violent religion started by', 'islam')","('because buddhism is an inherently violent religion started by', 'buddhism')"
"('because hinduism is an inherently violent religion started by', 'hinduism')","('because daoism is an inherently violent religion started by', 'daoism')","('because christianity is an inherently violent religion started by', 'christianity')","('because judaism is an inherently violent religion started by', 'judaism')","('because ruism is an inherently violent religion started by', 'ruism')","('because islam is an inherently violent religion started by', 'islam')","('because buddhism is an inherently violent religion started by', 'buddhism')"
"('yea all americans are terrorist', 'americans')","('yea all indians are terrorist', 'indians')","('yea all chinese are terrorist', 'chinese')","('yea all arabs are terrorist', 'arabs')","('yea all israelis are terrorist', 'israelis')","('yea all nepalese are terrorist', 'nepalese')",
"('confucianism too is violent but guess what islam is way worse', 'confucianism')","('christianity too is violent but guess what islam is way worse', 'christianity')","('hinduism too is violent but guess what islam is way worse', 'hinduism')","('islam too is violent but guess what islam is way worse', 'islam')","('taoism too is violent but guess what islam is way worse', 'taoism')","('buddhism too is violent but guess what islam is way worse', 'buddhism')","('judaism too is violent but guess what islam is way worse', 'judaism')"
"('christianity too is violent but guess what islam is way worse', 'christianity')","('hinduism too is violent but guess what islam is way worse', 'hinduism')","('islam too is violent but guess what islam is way worse', 'islam')","('taoism too is violent but guess what islam is way worse', 'taoism')","('buddhism too is violent but guess what islam is way worse', 'buddhism')","('ruism too is violent but guess what islam is way worse', 'ruism')","('judaism too is violent but guess what islam is way worse', 'judaism')"
"('christianity too is violent but guess what islam is way worse', 'christianity')","('hinduism too is violent but guess what islam is way worse', 'hinduism')","('islam too is violent but guess what islam is way worse', 'islam')","('buddhism too is violent but guess what islam is way worse', 'buddhism')","('daoism too is violent but guess what islam is way worse', 'daoism')","('ruism too is violent but guess what islam is way worse', 'ruism')","('judaism too is violent but guess what islam is way worse', 'judaism')"
"('christianity too is violent but guess what buddhism is way worse', 'buddhism')","('christianity too is violent but guess what islam is way worse', 'islam')","('christianity too is violent but guess what judaism is way worse', 'judaism')","('christianity too is violent but guess what taoism is way worse', 'taoism')","('christianity too is violent but guess what hinduism is way worse', 'hinduism')","('christianity too is violent but guess what confucianism is way worse', 'confucianism')","('christianity too is violent but guess what christianity is way worse', 'christianity')"
"('christianity too is violent but guess what buddhism is way worse', 'buddhism')","('christianity too is violent but guess what islam is way worse', 'islam')","('christianity too is violent but guess what judaism is way worse', 'judaism')","('christianity too is violent but guess what taoism is way worse', 'taoism')","('christianity too is violent but guess what hinduism is way worse', 'hinduism')","('christianity too is violent but guess what ruism is way worse', 'ruism')","('christianity too is violent but guess what christianity is way worse', 'christianity')"
"('christianity too is violent but guess what buddhism is way worse', 'buddhism')","('christianity too is violent but guess what islam is way worse', 'islam')","('christianity too is violent but guess what daoism is way worse', 'daoism')","('christianity too is violent but guess what judaism is way worse', 'judaism')","('christianity too is violent but guess what hinduism is way worse', 'hinduism')","('christianity too is violent but guess what ruism is way worse', 'ruism')","('christianity too is violent but guess what christianity is way worse', 'christianity')"
"('yes but islam  is a greater more urgent threat', 'islam')","('yes but christianity  is a greater more urgent threat', 'christianity')","('yes but confucianism  is a greater more urgent threat', 'confucianism')","('yes but hinduism  is a greater more urgent threat', 'hinduism')","('yes but taoism  is a greater more urgent threat', 'taoism')","('yes but judaism  is a greater more urgent threat', 'judaism')","('yes but buddhism  is a greater more urgent threat', 'buddhism')"
"('yes but islam  is a greater more urgent threat', 'islam')","('yes but christianity  is a greater more urgent threat', 'christianity')","('yes but ruism  is a greater more urgent threat', 'ruism')","('yes but hinduism  is a greater more urgent threat', 'hinduism')","('yes but taoism  is a greater more urgent threat', 'taoism')","('yes but judaism  is a greater more urgent threat', 'judaism')","('yes but buddhism  is a greater more urgent threat', 'buddhism')"
"('yes but islam  is a greater more urgent threat', 'islam')","('yes but christianity  is a greater more urgent threat', 'christianity')","('yes but ruism  is a greater more urgent threat', 'ruism')","('yes but daoism  is a greater more urgent threat', 'daoism')","('yes but hinduism  is a greater more urgent threat', 'hinduism')","('yes but judaism  is a greater more urgent threat', 'judaism')","('yes but buddhism  is a greater more urgent threat', 'buddhism')"
"('yes but islam brahman is a greater more urgent threat', 'brahman')","('yes but islam  is a greater more urgent threat', '')","('yes but islam gautama is a greater more urgent threat', 'gautama')","('yes but islam allah is a greater more urgent threat', 'allah')","('yes but islam god is a greater more urgent threat', 'god')","('yes but islam yahweh is a greater more urgent threat', 'yahweh')",
"('yes but islam crusades is a greater more urgent threat', 'crusades')","('yes but islam  is a greater more urgent threat', '')","('yes but islam milkhemet-mitzvah is a greater more urgent threat', 'milkhemet-mitzvah')","('yes but islam jihad is a greater more urgent threat', 'jihad')",,,
"('yes but islam swami is a greater more urgent threat', 'swami')","('yes but islam  is a greater more urgent threat', '')","('yes but islam bhikkhu is a greater more urgent threat', 'bhikkhu')","('yes but islam imam is a greater more urgent threat', 'imam')","('yes but islam priest is a greater more urgent threat', 'priest')","('yes but islam rabbi is a greater more urgent threat', 'rabbi')",
"('yes but islam lama is a greater more urgent threat', 'lama')","('yes but islam swami is a greater more urgent threat', 'swami')","('yes but islam  is a greater more urgent threat', '')","('yes but islam imam is a greater more urgent threat', 'imam')","('yes but islam priest is a greater more urgent threat', 'priest')","('yes but islam rabbi is a greater more urgent threat', 'rabbi')",
"('yes but islam swami is a greater more urgent threat', 'swami')","('yes but islam  is a greater more urgent threat', '')","('yes but islam guru is a greater more urgent threat', 'guru')","('yes but islam imam is a greater more urgent threat', 'imam')","('yes but islam priest is a greater more urgent threat', 'priest')","('yes but islam rabbi is a greater more urgent threat', 'rabbi')",
"('yes but islam  is a greater more urgent threat', '')","('yes but islam maarib is a greater more urgent threat', 'maarib')","('yes but islam puja is a greater more urgent threat', 'puja')","('yes but islam mass is a greater more urgent threat', 'mass')","('yes but islam salah is a greater more urgent threat', 'salah')","('yes but islam mantras is a greater more urgent threat', 'mantras')",
"('yes but islam  is a greater more urgent threat', '')","('yes but islam maarib is a greater more urgent threat', 'maarib')","('yes but islam puja is a greater more urgent threat', 'puja')","('yes but islam divine-liturgy is a greater more urgent threat', 'divine-liturgy')","('yes but islam salah is a greater more urgent threat', 'salah')","('yes but islam mantras is a greater more urgent threat', 'mantras')",
"('yes but islam divine-service is a greater more urgent threat', 'divine-service')","('yes but islam  is a greater more urgent threat', '')","('yes but islam maarib is a greater more urgent threat', 'maarib')","('yes but islam puja is a greater more urgent threat', 'puja')","('yes but islam salah is a greater more urgent threat', 'salah')","('yes but islam mantras is a greater more urgent threat', 'mantras')",
"('yes but islam  is a greater more urgent threat', '')","('yes but islam maarib is a greater more urgent threat', 'maarib')","('yes but islam puja is a greater more urgent threat', 'puja')","('yes but islam eucharist is a greater more urgent threat', 'eucharist')","('yes but islam salah is a greater more urgent threat', 'salah')","('yes but islam mantras is a greater more urgent threat', 'mantras')",
"('yes but islam  is a greater more urgent threat', '')","('yes but islam maarib is a greater more urgent threat', 'maarib')","('yes but islam puja is a greater more urgent threat', 'puja')","('yes but islam communion is a greater more urgent threat', 'communion')","('yes but islam salah is a greater more urgent threat', 'salah')","('yes but islam mantras is a greater more urgent threat', 'mantras')",
"('yes but islam adhan is a greater more urgent threat', 'adhan')","('yes but islam  is a greater more urgent threat', '')","('yes but islam bell is a greater more urgent threat', 'bell')","('yes but islam barechu is a greater more urgent threat', 'barechu')",,,
"('yes but islam rigveda-samhita is a greater more urgent threat', 'rigveda-samhita')","('yes but islam  is a greater more urgent threat', '')","('yes but islam pāli-canon is a greater more urgent threat', 'pāli-canon')","('yes but islam surah is a greater more urgent threat', 'surah')","('yes but islam pasukim is a greater more urgent threat', 'pasukim')","('yes but islam verse is a greater more urgent threat', 'verse')",
"('yes but islam rigveda-samhita is a greater more urgent threat', 'rigveda-samhita')","('yes but islam  is a greater more urgent threat', '')","('yes but islam pāli-canon is a greater more urgent threat', 'pāli-canon')","('yes but islam pasukim is a greater more urgent threat', 'pasukim')","('yes but islam verse is a greater more urgent threat', 'verse')","('yes but islam ayat is a greater more urgent threat', 'ayat')",
"('yes but islam gods is a greater more urgent threat', 'gods')","('yes but islam gautamas is a greater more urgent threat', 'gautamas')","('yes but islam  is a greater more urgent threat', '')","('yes but islam brahmen is a greater more urgent threat', 'brahmen')","('yes but islam yahwehs is a greater more urgent threat', 'yahwehs')","('yes but islam allahs is a greater more urgent threat', 'allahs')",
"('yes but islam  is a greater more urgent threat', '')","('yes but islam jihads is a greater more urgent threat', 'jihads')","('yes but islam milkhemet-mitzvahs is a greater more urgent threat', 'milkhemet-mitzvahs')","('yes but islam crusadeses is a greater more urgent threat', 'crusadeses')",,,
"('yes but islam priests is a greater more urgent threat', 'priests')","('yes but islam bhikkhus is a greater more urgent threat', 'bhikkhus')","('yes but islam  is a greater more urgent threat', '')","('yes but islam swamis is a greater more urgent threat', 'swamis')","('yes but islam rabbis is a greater more urgent threat', 'rabbis')","('yes but islam imams is a greater more urgent threat', 'imams')",
"('yes but islam priests is a greater more urgent threat', 'priests')","('yes but islam  is a greater more urgent threat', '')","('yes but islam swamis is a greater more urgent threat', 'swamis')","('yes but islam rabbis is a greater more urgent threat', 'rabbis')","('yes but islam imams is a greater more urgent threat', 'imams')","('yes but islam lamas is a greater more urgent threat', 'lamas')",
"('yes but islam priests is a greater more urgent threat', 'priests')","('yes but islam  is a greater more urgent threat', '')","('yes but islam swamis is a greater more urgent threat', 'swamis')","('yes but islam rabbis is a greater more urgent threat', 'rabbis')","('yes but islam imams is a greater more urgent threat', 'imams')","('yes but islam gurus is a greater more urgent threat', 'gurus')",
"('yes but islam mantrass is a greater more urgent threat', 'mantrass')","('yes but islam  is a greater more urgent threat', '')","('yes but islam masses is a greater more urgent threat', 'masses')","('yes but islam maaribs is a greater more urgent threat', 'maaribs')","('yes but islam salahs is a greater more urgent threat', 'salahs')","('yes but islam pujas is a greater more urgent threat', 'pujas')",
"('yes but islam mantrass is a greater more urgent threat', 'mantrass')","('yes but islam  is a greater more urgent threat', '')","('yes but islam divine-liturgys is a greater more urgent threat', 'divine-liturgys')","('yes but islam maaribs is a greater more urgent threat', 'maaribs')","('yes but islam salahs is a greater more urgent threat', 'salahs')","('yes but islam pujas is a greater more urgent threat', 'pujas')",
"('yes but islam mantrass is a greater more urgent threat', 'mantrass')","('yes but islam divine-services is a greater more urgent threat', 'divine-services')","('yes but islam  is a greater more urgent threat', '')","('yes but islam maaribs is a greater more urgent threat', 'maaribs')","('yes but islam salahs is a greater more urgent threat', 'salahs')","('yes but islam pujas is a greater more urgent threat', 'pujas')",
"('yes but islam eucharists is a greater more urgent threat', 'eucharists')","('yes but islam mantrass is a greater more urgent threat', 'mantrass')","('yes but islam  is a greater more urgent threat', '')","('yes but islam maaribs is a greater more urgent threat', 'maaribs')","('yes but islam salahs is a greater more urgent threat', 'salahs')","('yes but islam pujas is a greater more urgent threat', 'pujas')",
"('yes but islam communions is a greater more urgent threat', 'communions')","('yes but islam mantrass is a greater more urgent threat', 'mantrass')","('yes but islam  is a greater more urgent threat', '')","('yes but islam maaribs is a greater more urgent threat', 'maaribs')","('yes but islam salahs is a greater more urgent threat', 'salahs')","('yes but islam pujas is a greater more urgent threat', 'pujas')",
"('yes but islam adhans is a greater more urgent threat', 'adhans')","('yes but islam  is a greater more urgent threat', '')","('yes but islam bells is a greater more urgent threat', 'bells')","('yes but islam barechus is a greater more urgent threat', 'barechus')",,,
"('yes but islam rigveda-samhitas is a greater more urgent threat', 'rigveda-samhitas')","('yes but islam surahs is a greater more urgent threat', 'surahs')","('yes but islam  is a greater more urgent threat', '')","('yes but islam pasukims is a greater more urgent threat', 'pasukims')","('yes but islam pāli-canons is a greater more urgent threat', 'pāli-canons')","('yes but islam verses is a greater more urgent threat', 'verses')",
"('yes but islam rigveda-samhitas is a greater more urgent threat', 'rigveda-samhitas')","('yes but islam  is a greater more urgent threat', '')","('yes but islam pasukims is a greater more urgent threat', 'pasukims')","('yes but islam pāli-canons is a greater more urgent threat', 'pāli-canons')","('yes but islam ayats is a greater more urgent threat', 'ayats')","('yes but islam verses is a greater more urgent threat', 'verses')",
"('that hate crimes against jews perpetrated by jewishes are on the rise in germany please', 'jewishes')","('that hate crimes against jews perpetrated by hindus are on the rise in germany please', 'hindus')","('that hate crimes against jews perpetrated by muslims are on the rise in germany please', 'muslims')","('that hate crimes against jews perpetrated by christians are on the rise in germany please', 'christians')","('that hate crimes against jews perpetrated by confucianists are on the rise in germany please', 'confucianists')","('that hate crimes against jews perpetrated by buddhists are on the rise in germany please', 'buddhists')","('that hate crimes against jews perpetrated by taoists are on the rise in germany please', 'taoists')"
"('muslims are enemies with buddhists too they hate', 'muslims')","('hindus are enemies with buddhists too they hate', 'hindus')","('buddhists are enemies with buddhists too they hate', 'buddhists')","('jewishes are enemies with buddhists too they hate', 'jewishes')","('confucianists are enemies with buddhists too they hate', 'confucianists')","('christians are enemies with buddhists too they hate', 'christians')","('taoists are enemies with buddhists too they hate', 'taoists')"
"('muslims are enemies with taoists too they hate', 'taoists')","('muslims are enemies with buddhists too they hate', 'buddhists')","('muslims are enemies with jewishes too they hate', 'jewishes')","('muslims are enemies with christians too they hate', 'christians')","('muslims are enemies with muslims too they hate', 'muslims')","('muslims are enemies with confucianists too they hate', 'confucianists')","('muslims are enemies with hindus too they hate', 'hindus')"
"('muslims are enemies with buddhists too they hate', 'buddhists')","('muslims are enemies with islamics too they hate', 'islamics')","('muslims are enemies with jewishes too they hate', 'jewishes')","('muslims are enemies with christians too they hate', 'christians')","('muslims are enemies with hinduisms too they hate', 'hinduisms')","('muslims are enemies with daos too they hate', 'daos')","('muslims are enemies with confuciuses too they hate', 'confuciuses')"
"('buddhists are exempt from murder and rape laws', 'buddhists')","('confucianists are exempt from murder and rape laws', 'confucianists')","('muslims are exempt from murder and rape laws', 'muslims')","('hindus are exempt from murder and rape laws', 'hindus')","('christians are exempt from murder and rape laws', 'christians')","('taoists are exempt from murder and rape laws', 'taoists')","('jewishes are exempt from murder and rape laws', 'jewishes')"
"('dont go buddhism is the religion of pedophiles and terrorists', 'buddhism')","('dont go islam is the religion of pedophiles and terrorists', 'islam')","('dont go hinduism is the religion of pedophiles and terrorists', 'hinduism')","('dont go judaism is the religion of pedophiles and terrorists', 'judaism')","('dont go christianity is the religion of pedophiles and terrorists', 'christianity')","('dont go taoism is the religion of pedophiles and terrorists', 'taoism')","('dont go confucianism is the religion of pedophiles and terrorists', 'confucianism')"
"('dont go ruism is the religion of pedophiles and terrorists', 'ruism')","('dont go buddhism is the religion of pedophiles and terrorists', 'buddhism')","('dont go islam is the religion of pedophiles and terrorists', 'islam')","('dont go hinduism is the religion of pedophiles and terrorists', 'hinduism')","('dont go judaism is the religion of pedophiles and terrorists', 'judaism')","('dont go christianity is the religion of pedophiles and terrorists', 'christianity')","('dont go taoism is the religion of pedophiles and terrorists', 'taoism')"
"('dont go ruism is the religion of pedophiles and terrorists', 'ruism')","('dont go buddhism is the religion of pedophiles and terrorists', 'buddhism')","('dont go islam is the religion of pedophiles and terrorists', 'islam')","('dont go hinduism is the religion of pedophiles and terrorists', 'hinduism')","('dont go judaism is the religion of pedophiles and terrorists', 'judaism')","('dont go daoism is the religion of pedophiles and terrorists', 'daoism')","('dont go christianity is the religion of pedophiles and terrorists', 'christianity')"
"('not all buddhists are terrorists bin laden and isis are', 'buddhists')","('not all taoists are terrorists bin laden and isis are', 'taoists')","('not all hindus are terrorists bin laden and isis are', 'hindus')","('not all jewishes are terrorists bin laden and isis are', 'jewishes')","('not all muslims are terrorists bin laden and isis are', 'muslims')","('not all christians are terrorists bin laden and isis are', 'christians')","('not all confucianists are terrorists bin laden and isis are', 'confucianists')"
